"","Recorded_Date","Participant_ID","Lunch_SUD_Change","First_Patient","Tom_Actor_Name","Tom_Actor_Race","Freddie_Actor_Name","Tech_Difficulties","Pre_Debrief_Suspicion","Additional_Considerations","Tech_Difficulties_Order","Freddie_Actor_Race"
"1","Recorded Date","WHAT IS THE PARTICIPANT'S ID? (TO FIND, GO TO THE DISSERTATION EXAM SURVEY, LOOK AT DATA AND ANALYSIS, CLICK ""RESPONSES IN PROGRESS,"" CLICK ON THE TOP RESPONSE, SCROLL DOWN UNTIL YOU SEE Q85, AND COMBINE ALL ANSWERS TO FORM A 6-8 CHARACTER ALPHANUMERIC CODE.)","Did the participant change their lunch SUDs answer?","WHAT PATIENT DID THE PARTICIPANT INTERACT WITH FIRST?","WHO","PLAYED","WHO","WHICH PERSON HAD TECH DIFFICULTIES?","How did the participant respond to pre-debrief questions? Do you think that they knew the true study purpose?","Did anything odd happen during the study? Is there anything we should know before we include this participant in the data analysis?","Second",NA
"2","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""IMPORTID"":""QID1_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""IMPORTID"":""QID2""}","{""IMPORTID"":""QID3""}",NA,"{""IMPORTID"":""QID12""}","{""IMPORTID"":""QID4""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}","Second",NA
"3","2021-03-26 17:20:29","","","","",NA,"","","","","First",NA
"4","2021-04-22 15:06:01","MC07RIBL","no","TOM","DAVID","(BLACK)","","FREDDIE","1)no 2) the first patient was more reserved and seem like he ""didn't want to go [to the appt.]"", and the 2nd patient seemed to be more focused on an ambiguous symptom more so than his straight forward diabetes. 3) How ambiguity in telehealth affects anxiety and interactions 3a) when the question was asked","the first patient Tom (James) was let in from the waiting room but had his camera off and was muted, left, came back and was let in again and then the encounter began, so there was a 1-2 minute delay of me turning off my camera and the 1st patient showing up. She left the survey window before signing the affidavit so I told her we would send it to her after in case reopening it would erase her answers.","Second","(WHITE)"
"5","2021-04-22 17:13:07","MA02AABL","no","TOM","JIM","(WHITE)","","TOM","1) all clear; 2) guessed that the tech manipulation was part of the study; knew that there was another red flag; guessed that adherence was a problem with Freddy and mental health was also an issue. 3) guessed that hypothesis was about how stress impacts behavior. No indication of racial deception knowledge. ","tech troubles at beginning which seemed to be sorted out before SP interactions; neither SP had a virtual background; Freddy was wearing a hat","First","(BLACK)"
"6","2021-04-23 18:36:00","VI1260BR","no","FREDDIE","BILL","(WHITE)","","FREDDIE","1) no 2) that they have low health literacy, were hesitant, neither needed to be seen in person for their issues, both had lifestyle factors that would need some digging to find out - 2a) as they read their charts and during the interviews 3) do telehealth visits heighten stress and how a ""patients factors"" affect it- 3a) when learning what the study was about","She was 25 minutes late so I had to email her and she then quickly came to the meeting. her dog was rowdy and she kept telling it to lay down and was watching it. It took us a minute or two to figure out how to hide non-video participants before her first meeting. Before her first meeting after I turned my video off and let James (who ""had tech difficulty"") in he and had his video off for abt 30 seconds and she asked if she should be seeing anything I said yup his video is just off right now, then he turned it on and I turned off my volume and they proceeded","First","(BLACK)"
"7","2021-04-24 11:48:33","EL0896BR","n/a","FREDDIE","BILL","(WHITE)","","TOM","no; was curious about whether the COVID questioner was a manipulation intended to increase stress; no indication of suspicion re: race or tech literacy; thought the hypothesis was that levels of stress would increase when patient have opposing convictions compared to their pets or when they are not sure what's going on for their patients. ","James/Freddy was a couple of minutes late and RA needed to stall; told participant about the late arrival (d/t patient being in a different zoom room-possible confound of tech manipulation); Tom was a bit more of a COVID denier this time.","Second","(BLACK)"
"8","2021-04-24 14:16:04","AN036TGR","N/A","TOM","BILL","(WHITE)","","TOM","Suspicious about tech manipulation (suspected that the inability to use tech was an attempt to put more stress on; also cited more trouble with talking over each other with Tom; thoughts hypothesis might be that tech troubles lead to frustration and that impacts quality of care); no indication of suspicion of racial component. ","Participant thought that I would interrupt at 10 minutes during first exam, so may be artificially long. Provider made conscious choice not to make too significant of a workup for Tom, stated that she was tempted to do a more thorough workup and specifically said that he could have had cancer, but she chose not to workup because thought it was outside bounds of the study. Stated that patients would redirect if she got too off track. ","First","(BLACK)"
"9","2021-04-26 11:23:28","X0214BL","Yes, reflected on survey","FREDDIE","BILL","(WHITE)","","FREDDIE","Age and tech savvy, started suspecting tech savvy manipulation when Freddie had trouble unmuting, but particularly when tom had  trouble with a computer restart prompt during the session","YES! med student had to leave 1/2 way through, then came back and I finished call from the car. Tom had his computer threaten to restart during session which threw us off too.","First","(BLACK)"
"10","2021-04-26 12:36:32","JO05SWBL","No","FREDDIE","JIM","(WHITE)","","FREDDIE","1. instructions to stop were confusing, expected something more, started during surveys  2. no, maybe the way it’s a virtual visit, both had a decent reason to come in person, started to think that researchers were interested in decision making for virtual visit  3. does the personality of clinician match with personality of patient ","Freddie did not experience tech problems although he was supposed to, he stayed muted for about 10 seconds but nothing more than that. Also the participant was very confused on how the survey worked, and answered questions ahead of time, as they didn't really know where to stop. They also said there were identical questions near the end of the survey. ","First","(BLACK)"
