"","Recorded_Date","Medical_Year_study","SUDS_Baseline_study","STAI_1_Baseline_study","STAI_2_Baseline_study","STAI_3_Baseline_study","STAI_4_Baseline_study","STAI_5_Baseline_study","STAI_6_Baseline_study","STAI_7_Baseline_study","STAI_8_Baseline_study","STAI_9_Baseline_study","STAI_10_Baseline_study","STAI_11_Baseline_study","STAI_12_Baseline_study","STAI_13_Baseline_study","STAI_14_Baseline_study","STAI_15_Baseline_study","STAI_16_Baseline_study","STAI_17_Baseline_study","STAI_18_Baseline_study","STAI_19_Baseline_study","STAI_20_Baseline_study","SUDS_Test_study","SUDS_PreExam1_study","STAI_1_Exam1_study","STAI_2_Exam1_study","STAI_3_Exam1_study","STAI_4_Exam1_study","STAI_5_Exam1_study","STAI_6_Exam1_study","STAI_7_Exam1_study","STAI_8_Exam1_study","STAI_9_Exam1_study","STAI_10_Exam1_study","STAI_11_Exam1_study","STAI_12_Exam1_study","STAI_13_Exam1_study","STAI_14_Exam1_study","STAI_15_Exam1_study","STAI_16_Exam1_study","STAI_17_Exam1_study","STAI_18_Exam1_study","STAI_19_Exam1_study","STAI_20_Exam1_study","SUDS_PostExam1_study","Exam1_Stress_Level","Exam1_Stress_Occurance","Exam1_Recommendation","SUDS_PreExam2_study","STAI_1_Exam2_study","STAI_2_Exam2_study","STAI_3_Exam2_study","STAI_4_Exam2_study","STAI_5_Exam2_study","STAI_6_Exam2_study","STAI_7_Exam2_study","STAI_8_Exam2_study","STAI_9_Exam2_study","STAI_10_Exam2_study","STAI_11_Exam2_study","STAI_12_Exam2_study","STAI_13_Exam2_study","STAI_14_Exam2_study","STAI_15_Exam2_study","STAI_16_Exam2_study","STAI_17_Exam2_study","STAI_18_Exam2_study","STAI_19_Exam2_study","STAI_20_Exam2_study","SUDS_PostExam2_study","Exam2_Stress_Level","Exam2_Stress_Occurance","Exam2_Recommendation","IMS_EMS_1","IMS_EMS_2","IMS_EMS_3","IMS_EMS_5","IMS_EMS_3.0","IMS_EMS_6","IMS_EMS_7","IMS_EMS_8","IMS_EMS_9","IMS_EMS_10","Q1.RP1","Q2.RP2","Q3.RP3","Q4.RP4","Q5.RP5","Q6.RP6","Q7.RP7","Q8.RN1","Q9.RN2","Q10.RN3","Q11.RN4","Q12.RN5","Q13.RN6","Q14.RN7","Q15.LP1","Q16.LP2","Q17.LP3","Q18.LP4","Q19.LP5","Q20.LP6","Q21.LP7","Q22.LN1","Q23.LN2","Q24.LN3","Q25.LN4","Q26.LN5","Q27.LN6","Q28.LN7","Study_ID","compatible.crit","incompatible.crit","compatible.prac","incompatible.prac","D"
"1","Recorded Date","What year are you in medical school?","What is your current level of stress? - Current stress level:","I feel calm.","I feel secure.","I am tense.","I feel strained.","I feel at ease.","I feel upset.","I am presently worrying over possible misfortunes.","I feel satisfied.","I feel frightened.","I feel comfortable.","I feel self-confident.","I feel nervous.","I am jittery.","I feel indecisive.","I am relaxed.","I feel content.","I am worried.","I feel confused.","I feel steady.","I feel pleasant.","When you are at lunch with friends, what is your level of stress? - Stress level","What is your current level of stress? - Current stress level:","I feel calm.","I feel secure.","I am tense.","I feel strained.","I feel at ease.","I feel upset.","I am presently worrying over possible misfortunes.","I feel satisfied.","I feel frightened.","I feel comfortable.","I feel self-confident.","I feel nervous.","I am jittery.","I feel indecisive.","I am relaxed.","I feel content.","I am worried.","I feel confused.","I feel steady.","I feel pleasant.","What is your current level of stress? - Current stress level:","What was the highest level of stress you experienced during that last patient exam? - Highest exam SUDs:","What was occurring in the exam when your stress level was highest?","Please summarize, in order of priority, your treatment recommendations, referrals, or next steps for this patient.","What is your current level of stress? - Current stress level:","I feel calm.","I feel secure.","I am tense.","I feel strained.","I feel at ease.","I feel upset.","I am presently worrying over possible misfortunes.","I feel satisfied.","I feel frightened.","I feel comfortable.","I feel self-confident.","I feel nervous.","I am jittery.","I feel indecisive.","I am relaxed.","I feel content.","I am worried.","I feel confused.","I feel steady.","I feel pleasant.","What is your current level of stress? - Current stress level:","What was the highest level of stress you experienced during that last patient exam? - Highest exam SUDs:","What was occurring in the exam when your stress level was highest?","Please summarize, in order of priority, your treatment recommendations, referrals, or next steps for this patient.","Because of today’s PC (politically correct) standards I try to appear nonprejudiced toward Black people.","I try to hide any negative thoughts about Black people in order to avoid negative reactions from others.","If I acted prejudiced toward Black people, I would be concerned that others would be angry with me.","I try to act non prejudiced toward Black people because of pressure from others","If I acted prejudiced toward Black people, I would be concerned that others would be angry with me.","I attempt to act in nonprejudiced ways toward Black people because it is personally important to me.","According to my personal values, using stereotypes about Black people is OK.","I am personally motivated by my beliefs to be nonprejudiced toward Black people.","Because of my personal values, I believe that using stereotypes about Black people is wrong.","Being nonprejudiced toward Black people is important to my self-concept.","Whites




 Blacks






+



Loading all the content...




This should take less than 1 minute



Instructions: Place your left and right index fingers on the E and I keys. At the top of the screen are 2 categories. In the task, words and/or images appear in the middle of the screen. 

When the word/image belongs to the category on the left, press the E key as fast as you can. When it belongs to the category on the right, press the I key as fast as you can. If you make an error, a red X will appear. Correct errors by hitting the other key.




Please try to go as fast as you can while making as few errors as possible.




When you are ready, please press the [Space] bar to begin.




Part 1 of 7




x","negative




	positive






+



Loading all the content...




This should take less than 1 minute



Now, the categories have changed, but the rules remain the same. Please try to go as fast as you can while making as few errors as possible. Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 2 of 7




x","Whites
	or
	negative




	Blacks
	or
	positive






+



Loading all the content...




This should take less than 1 minute



Now the four categories you saw separately will appear together. Remember, each word/image fits in only one of the four categories. The label/item colors may help you identify the appropriate category.




Use the E key for the two categories on the left and the I key for the two categories on the right. Again, try to go as fast as possible without making mistakes. Correct errors by hitting the other key. Practice this combination now. 




When you are ready, please press the [Space] bar to begin.




Part 3 of 7




x","Whites
	or
	negative




	Blacks
	or
	positive






+



Loading all the content...




This should take less than 1 minute



Please continue the task as you were just doing it. Again, try to go as fast as possible without making mistakes.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 4 of 7




x","Blacks




	Whites






+



Loading all the content...




This should take less than 1 minute



Notice the categories from before have switched sides. Please practice this new configuration now. Remember to try to go as fast as you can while making as few errors as possible. Correct errors by hitting the other key. 




When you are ready, please press the [Space] bar to begin.




Part 5 of 7




x","Blacks
	or
	negative




	Whites
	or
	positive






+



Loading all the content...




This should take less than 1 minute



Notice the four categories have been combined again, but in a new configuration. Please practice this combination now, and remember to go as fast as you can while making as few mistakes as possible.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 6 of 7




x","Blacks
	or
	negative




	Whites
	or
	positive






+



Loading all the content...




This should take less than 1 minute



Please continue the task as you were just doing it, and remember to go as fast as you can while making as few mistakes as possible.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 7 of 7




x","Whites




 Blacks






+



Loading all the content...




This should take less than 1 minute



Instructions: Place your left and right index fingers on the E and I keys. At the top of the screen are 2 categories. In the task, words and/or images appear in the middle of the screen. 

When the word/image belongs to the category on the left, press the E key as fast as you can. When it belongs to the category on the right, press the I key as fast as you can. If you make an error, a red X will appear. Correct errors by hitting the other key.




Please try to go as fast as you can while making as few errors as possible.




When you are ready, please press the [Space] bar to begin.




Part 1 of 7




x","positive




	negative






+



Loading all the content...




This should take less than 1 minute



Now, the categories have changed, but the rules remain the same. Please try to go as fast as you can while making as few errors as possible. Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 2 of 7




x","Whites
	or
	positive




	Blacks
	or
	negative






+



Loading all the content...




This should take less than 1 minute



Now the four categories you saw separately will appear together. Remember, each word/image fits in only one of the four categories. The label/item colors may help you identify the appropriate category.




Use the E key for the two categories on the left and the I key for the two categories on the right. Again, try to go as fast as possible without making mistakes. Correct errors by hitting the other key. Practice this combination now. 




When you are ready, please press the [Space] bar to begin.




Part 3 of 7




x","Whites
	or
	positive




	Blacks
	or
	negative






+



Loading all the content...




This should take less than 1 minute



Please continue the task as you were just doing it. Again, try to go as fast as possible without making mistakes.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 4 of 7




x","Blacks




	Whites






+



Loading all the content...




This should take less than 1 minute



Notice the categories from before have switched sides. Please practice this new configuration now. Remember to try to go as fast as you can while making as few errors as possible. Correct errors by hitting the other key. 




When you are ready, please press the [Space] bar to begin.




Part 5 of 7




x","Blacks
	or
	positive




	Whites
	or
	negative






+



Loading all the content...




This should take less than 1 minute



Notice the four categories have been combined again, but in a new configuration. Please practice this combination now, and remember to go as fast as you can while making as few mistakes as possible.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 6 of 7




x","Blacks
	or
	positive




	Whites
	or
	negative






+



Loading all the content...




This should take less than 1 minute



Please continue the task as you were just doing it, and remember to go as fast as you can while making as few mistakes as possible.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 7 of 7




x","Blacks




 Whites






+



Loading all the content...




This should take less than 1 minute



Instructions: Place your left and right index fingers on the E and I keys. At the top of the screen are 2 categories. In the task, words and/or images appear in the middle of the screen. 

When the word/image belongs to the category on the left, press the E key as fast as you can. When it belongs to the category on the right, press the I key as fast as you can. If you make an error, a red X will appear. Correct errors by hitting the other key.




Please try to go as fast as you can while making as few errors as possible.




When you are ready, please press the [Space] bar to begin.




Part 1 of 7




x","positive




	negative






+



Loading all the content...




This should take less than 1 minute



Now, the categories have changed, but the rules remain the same. Please try to go as fast as you can while making as few errors as possible. Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 2 of 7




x","Blacks
	or
	positive




	Whites
	or
	negative






+



Loading all the content...




This should take less than 1 minute



Now the four categories you saw separately will appear together. Remember, each word/image fits in only one of the four categories. The label/item colors may help you identify the appropriate category.




Use the E key for the two categories on the left and the I key for the two categories on the right. Again, try to go as fast as possible without making mistakes. Correct errors by hitting the other key. Practice this combination now. 




When you are ready, please press the [Space] bar to begin.




Part 3 of 7




x","Blacks
	or
	positive




	Whites
	or
	negative






+



Loading all the content...




This should take less than 1 minute



Please continue the task as you were just doing it. Again, try to go as fast as possible without making mistakes.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 4 of 7




x","Whites




	Blacks






+



Loading all the content...




This should take less than 1 minute



Notice the categories from before have switched sides. Please practice this new configuration now. Remember to try to go as fast as you can while making as few errors as possible. Correct errors by hitting the other key. 




When you are ready, please press the [Space] bar to begin.




Part 5 of 7




x","Whites
	or
	positive




	Blacks
	or
	negative






+



Loading all the content...




This should take less than 1 minute



Notice the four categories have been combined again, but in a new configuration. Please practice this combination now, and remember to go as fast as you can while making as few mistakes as possible.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 6 of 7




x","Whites
	or
	positive




	Blacks
	or
	negative






+



Loading all the content...




This should take less than 1 minute



Please continue the task as you were just doing it, and remember to go as fast as you can while making as few mistakes as possible.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 7 of 7




x","Blacks




 Whites






+



Loading all the content...




This should take less than 1 minute



Instructions: Place your left and right index fingers on the E and I keys. At the top of the screen are 2 categories. In the task, words and/or images appear in the middle of the screen. 

When the word/image belongs to the category on the left, press the E key as fast as you can. When it belongs to the category on the right, press the I key as fast as you can. If you make an error, a red X will appear. Correct errors by hitting the other key.




Please try to go as fast as you can while making as few errors as possible.




When you are ready, please press the [Space] bar to begin.




Part 1 of 7




x","negative




	positive






+



Loading all the content...




This should take less than 1 minute



Now, the categories have changed, but the rules remain the same. Please try to go as fast as you can while making as few errors as possible. Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 2 of 7




x","Blacks
	or
	negative




	Whites
	or
	positive






+



Loading all the content...




This should take less than 1 minute



Now the four categories you saw separately will appear together. Remember, each word/image fits in only one of the four categories. The label/item colors may help you identify the appropriate category.




Use the E key for the two categories on the left and the I key for the two categories on the right. Again, try to go as fast as possible without making mistakes. Correct errors by hitting the other key. Practice this combination now. 




When you are ready, please press the [Space] bar to begin.




Part 3 of 7




x","Blacks
	or
	negative




	Whites
	or
	positive






+



Loading all the content...




This should take less than 1 minute



Please continue the task as you were just doing it. Again, try to go as fast as possible without making mistakes.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 4 of 7




x","Whites




	Blacks






+



Loading all the content...




This should take less than 1 minute



Notice the categories from before have switched sides. Please practice this new configuration now. Remember to try to go as fast as you can while making as few errors as possible. Correct errors by hitting the other key. 




When you are ready, please press the [Space] bar to begin.




Part 5 of 7




x","Whites
	or
	negative




	Blacks
	or
	positive






+



Loading all the content...




This should take less than 1 minute



Notice the four categories have been combined again, but in a new configuration. Please practice this combination now, and remember to go as fast as you can while making as few mistakes as possible.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 6 of 7




x","Whites
	or
	negative




	Blacks
	or
	positive






+



Loading all the content...




This should take less than 1 minute



Please continue the task as you were just doing it, and remember to go as fast as you can while making as few mistakes as possible.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 7 of 7




x","THE FOLLOWING QUESTIONS WILL ALLOW US TO CREATE A UNIQUE ID CODE TO MATCH THE CURRENT SURVEY TO YOUR IN-PERSON SURVEY, WITHOUT COMPROMISING YOUR ANONYMITY.
PLEASE ANSWER THE QUESTIONS BELOW SO WE CAN GENERATE YOUR PERSONAL ID CODE: - FIRST TWO LETTERS OF YOUR MOTHERS' MIDDLE NAME (IF NONE PUT X) - TEXTTHE FOLLOWING QUESTIONS WILL ALLOW US TO CREATE A UNIQUE ID CODE TO MATCH THE CURRENT SURVEY TO YOUR IN-PERSON SURVEY, WITHOUT COMPROMISING YOUR ANONYMITY.
PLEASE ANSWER THE QUESTIONS BELOW SO WE CAN GENERATE YOUR PERSONAL ID CODE: - YOUR BIRTH MONTH IN NUMBERS (FOR EXAMPLE: MARCH= 03) - TEXTTHE FOLLOWING QUESTIONS WILL ALLOW US TO CREATE A UNIQUE ID CODE TO MATCH THE CURRENT SURVEY TO YOUR IN-PERSON SURVEY, WITHOUT COMPROMISING YOUR ANONYMITY.
PLEASE ANSWER THE QUESTIONS BELOW SO WE CAN GENERATE YOUR PERSONAL ID CODE: - FIRST TWO CHARACTERS OF THE STREET NAME YOU LIVED ON WHEN YOU ENTERED HIGH SCHOOL (IF YOU DO NOT REMEMBER, PUT X) - TEXTTHE FOLLOWING QUESTIONS WILL ALLOW US TO CREATE A UNIQUE ID CODE TO MATCH THE CURRENT SURVEY TO YOUR IN-PERSON SURVEY, WITHOUT COMPROMISING YOUR ANONYMITY.
PLEASE ANSWER THE QUESTIONS BELOW SO WE CAN GENERATE YOUR PERSONAL ID CODE: - FIRST TWO LETTERS OF YOUR EYE COLOR - TEXT","Whites
	or
	negative




	Blacks
	or
	positive






+



Loading all the content...




This should take less than 1 minute



Please continue the task as you were just doing it. Again, try to go as fast as possible without making mistakes.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 4 of 7




x","Blacks
	or
	negative




	Whites
	or
	positive






+



Loading all the content...




This should take less than 1 minute



Please continue the task as you were just doing it, and remember to go as fast as you can while making as few mistakes as possible.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 7 of 7




x","Whites
	or
	negative




	Blacks
	or
	positive






+



Loading all the content...




This should take less than 1 minute



Now the four categories you saw separately will appear together. Remember, each word/image fits in only one of the four categories. The label/item colors may help you identify the appropriate category.




Use the E key for the two categories on the left and the I key for the two categories on the right. Again, try to go as fast as possible without making mistakes. Correct errors by hitting the other key. Practice this combination now. 




When you are ready, please press the [Space] bar to begin.




Part 3 of 7




x","Blacks
	or
	negative




	Whites
	or
	positive






+



Loading all the content...




This should take less than 1 minute



Notice the four categories have been combined again, but in a new configuration. Please practice this combination now, and remember to go as fast as you can while making as few mistakes as possible.  Correct errors by hitting the other key.




When you are ready, please press the [Space] bar to begin.




Part 6 of 7




x",NA
"2","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""QID226""}","{""ImportId"":""QID150_1""}","{""ImportId"":""QID228""}","{""ImportId"":""QID229""}","{""ImportId"":""QID230""}","{""ImportId"":""QID231""}","{""ImportId"":""QID232""}","{""ImportId"":""QID233""}","{""ImportId"":""QID234""}","{""ImportId"":""QID235""}","{""ImportId"":""QID236""}","{""ImportId"":""QID237""}","{""ImportId"":""QID238""}","{""ImportId"":""QID239""}","{""ImportId"":""QID240""}","{""ImportId"":""QID241""}","{""ImportId"":""QID242""}","{""ImportId"":""QID243""}","{""ImportId"":""QID244""}","{""ImportId"":""QID245""}","{""ImportId"":""QID246""}","{""ImportId"":""QID247""}","{""ImportId"":""QID151_1""}","{""ImportId"":""QID248_1""}","{""ImportId"":""QID154""}","{""ImportId"":""QID155""}","{""ImportId"":""QID156""}","{""ImportId"":""QID157""}","{""ImportId"":""QID158""}","{""ImportId"":""QID159""}","{""ImportId"":""QID160""}","{""ImportId"":""QID161""}","{""ImportId"":""QID162""}","{""ImportId"":""QID163""}","{""ImportId"":""QID164""}","{""ImportId"":""QID165""}","{""ImportId"":""QID166""}","{""ImportId"":""QID167""}","{""ImportId"":""QID168""}","{""ImportId"":""QID169""}","{""ImportId"":""QID170""}","{""ImportId"":""QID171""}","{""ImportId"":""QID172""}","{""ImportId"":""QID173""}","{""ImportId"":""QID175_1""}","{""ImportId"":""QID176_1""}","{""ImportId"":""QID177_TEXT""}","{""ImportId"":""QID178_TEXT""}","{""ImportId"":""QID180_1""}","{""ImportId"":""QID182""}","{""ImportId"":""QID183""}","{""ImportId"":""QID184""}","{""ImportId"":""QID185""}","{""ImportId"":""QID186""}","{""ImportId"":""QID187""}","{""ImportId"":""QID188""}","{""ImportId"":""QID189""}","{""ImportId"":""QID190""}","{""ImportId"":""QID191""}","{""ImportId"":""QID192""}","{""ImportId"":""QID193""}","{""ImportId"":""QID194""}","{""ImportId"":""QID195""}","{""ImportId"":""QID196""}","{""ImportId"":""QID197""}","{""ImportId"":""QID198""}","{""ImportId"":""QID199""}","{""ImportId"":""QID200""}","{""ImportId"":""QID201""}","{""ImportId"":""QID203_1""}","{""ImportId"":""QID204_1""}","{""ImportId"":""QID205_TEXT""}","{""ImportId"":""QID206_TEXT""}","{""ImportId"":""QID208""}","{""ImportId"":""QID209""}","{""ImportId"":""QID210""}","{""ImportId"":""QID211""}","{""ImportId"":""QID212""}","{""ImportId"":""QID213""}","{""ImportId"":""QID214""}","{""ImportId"":""QID215""}","{""ImportId"":""QID216""}","{""ImportId"":""QID217""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID10_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID12_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""QID20_TEXT""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28_TEXT""}","{""IMPORTID"":""QID84_1_TEXT""}{""IMPORTID"":""QID84_2_TEXT""}{""IMPORTID"":""QID84_3_TEXT""}{""IMPORTID"":""QID84_4_TEXT""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID6_TEXT""}",NA
"3","2021-03-16 19:47:03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA
"4","2021-03-16 19:49:04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA
"5","2021-03-18 19:52:33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA
"6","2021-03-18 19:53:49","","79","","","","","","","","","","","","","","","","","","","","","91","","","","","","","","","","","","","","","","","","","","","","82","","","","86","","","","","","","","","","","","","","","","","","","","","64","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KASDSDSD","","","","",NA
"7","2021-03-19 11:49:23","","18","","","","","","","","","","","","","","","","","","","","","0","","3= Moderately so","2= Somewhat","2= Somewhat","2= Somewhat","2= Somewhat","1= Not at all","2= Somewhat","2= Somewhat","2= Somewhat","3= Moderately so","3= Moderately so","2= Somewhat","2= Somewhat","2= Somewhat","3= Moderately so","3= Moderately so","2= Somewhat","2= Somewhat","3= Moderately so","2= Somewhat","30","40","","","14","2= Somewhat","2= Somewhat","3= Moderately so","2= Somewhat","2= Somewhat","1= Not at all","2= Somewhat","2= Somewhat","2= Somewhat","3= Moderately so","2= Somewhat","3= Moderately so","3= Moderately so","2= Somewhat","2= Somewhat","2= Somewhat","3= Moderately so","2= Somewhat","2= Somewhat","2= Somewhat","24","40","","","2","4","","","","","","","","","25C2049,21C700,23C574,26C482,24C618,25C519,32X1031,27C2304,21C718,22C686,22C486,30C606,30C568,23C602,27C824,32C647,28C630,31C593,31C536,29C507,END","19C1457,14C777,18C820,8C486,1C616,10C798,3C640,7C597,9C603,2C614,12C559,17C838,4C651,5C755,6C621,20C845,13X1980,15C838,11C771,16C863,END","13C3387,27C753,3X1208,30C722,18X1502,31C1233,17X2366,28C766,20C773,22C750,2C704,24C579,8X1557,23C719,9C918,32C600,15C619,25C610,10C519,21C605,END","5C1048,21C521,11X973,27C600,2C621,23C637,13C668,24C631,12C683,28C636,20C867,26C683,8C613,22C569,1X995,30C658,14C1274,23C627,6C909,31C670,18X946,32C591,3C655,22C496,10C503,28C624,19C765,25C674,17X975,27C600,9C842,21C785,7X17894,29X2708,16C225,30C1522,4C952,24C706,15C13141,32X603,END","31X1505,22C1664,26C735,21C357,28X595,32C89,27X117,32X130,27X139,27C88,21X1661,21C573,30C572,27C603,23X685,30X654,23C636,29X784,25X328,32X568,25C5,29X958,26X494,28C1020,21C657,24C586,26C494,22C442,30X642,28C607,23X599,30C307,26X439,24X413,29C36,22C426,24X583,25X291,31C297,31X407,END","18C2738,30C3015,9C905,32C609,14C786,23C666,11C816,26C845,12C908,31C675,19X1016,25C846,5C741,27C645,1X833,28C609,6X1362,21C695,2C734,22C735,END","14C999,22C1689,11X1797,23C485,7C747,25C697,19C626,24C586,13C775,28C717,20X903,26C648,9X2130,21C525,16C1073,28C653,18X1052,27X906,2C1167,25C663,17C1098,26C538,10C803,30C578,4C767,31X1090,1C810,27C651,6C457,22C607,5X914,30C297,15C549,29C877,8X996,23X673,3X625,32X266,12C176,29X503,END","","","","","","","","","","","","","","","","","","","","","","LY04XGR","5C1048,21C521,11X973,27C600,2C621,23C637,13C668,24C631,12C683,28C636,20C867,26C683,8C613,22C569,1X995,30C658,14C1274,23C627,6C909,31C670,18X946,32C591,3C655,22C496,10C503,28C624,19C765,25C674,17X975,27C600,9C842,21C785,7X17894,29X2708,16C225,30C1522,4C952,24C706,15C13141,32X603,END","14C999,22C1689,11X1797,23C485,7C747,25C697,19C626,24C586,13C775,28C717,20X903,26C648,9X2130,21C525,16C1073,28C653,18X1052,27X906,2C1167,25C663,17C1098,26C538,10C803,30C578,4C767,31X1090,1C810,27C651,6C457,22C607,5X914,30C297,15C549,29C877,8X996,23X673,3X625,32X266,12C176,29X503,END","13C3387,27C753,3X1208,30C722,18X1502,31C1233,17X2366,28C766,20C773,22C750,2C704,24C579,8X1557,23C719,9C918,32C600,15C619,25C610,10C519,21C605,END","18C2738,30C3015,9C905,32C609,14C786,23C666,11C816,26C845,12C908,31C675,19X1016,25C846,5C741,27C645,1X833,28C609,6X1362,21C695,2C734,22C735,END",-0.0108237554638492
"8","2021-03-19 12:02:25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","TESTING","","","","",NA
"9","2021-03-21 10:32:23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA
"10","2021-03-21 11:45:21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","KA03BLHA","","","","",NA
